,Score_mps,Score_sv
0,0.6565656565656566,0.7878787878787878
1,0.8282828282828283,0.7777777777777778
2,0.7575757575757576,0.6464646464646465
3,0.8181818181818182,0.8080808080808081
4,0.8181818181818182,0.7575757575757576
5,0.8080808080808081,0.8181818181818182
6,0.797979797979798,0.7575757575757576
7,0.7777777777777778,0.8181818181818182
8,0.8080808080808081,0.8080808080808081
9,0.8383838383838383,0.8181818181818182
10,0.8383838383838383,0.7777777777777778
11,0.797979797979798,0.7777777777777778
12,0.6363636363636364,0.6262626262626263
13,0.696969696969697,0.7777777777777778
14,0.6262626262626263,0.6666666666666666
15,0.7777777777777778,0.7878787878787878
16,0.7878787878787878,0.7878787878787878
17,0.6363636363636364,0.6060606060606061
18,0.8181818181818182,0.8080808080808081
19,0.6363636363636364,0.7878787878787878
20,0.797979797979798,0.797979797979798
21,0.8282828282828283,0.6262626262626263
22,0.8282828282828283,0.797979797979798
23,0.797979797979798,0.7878787878787878
24,0.7878787878787878,0.5555555555555556
25,0.6262626262626263,0.7878787878787878
26,0.8181818181818182,0.7777777777777778
27,0.7878787878787878,0.8282828282828283
28,0.7878787878787878,0.7878787878787878
29,0.797979797979798,0.8080808080808081
